identifier,dimension,smiles,bus,elements,ms,nms,mo_formula,csdformula
GERKIA,3,N=C(N)N,[9],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']",Mn1 P3 H6 O6,"(H6 Mn1 O6 P3 1-)n,C1 H6 N3 1+"
GERLAT,3,c1nnc[nH]1,[9],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']",Mn1 P3 H6 O6,"(H6 Mn1 O6 P3 1-)n,C2 H4 N3 1+"
GERNIB,0,NCCN,[1],"['O', 'P', 'W']",['W'],"['O', 'P']",P2 H2 W5 O23,"H2 O23 P2 W5 4-,C2 H10 N2 2+,2(C2 H9 N2 1+),5.42(H2 O1)"
GERSON,0,c1ccc(Nc2ccccn2)nc1,[10],"['N', 'Nd', 'O']",['Nd'],"['N', 'O']",Nd1 N6 O18,"3(C10 H10 N3 1+),N6 Nd1 O18 3-,H2 O1"
GERSUT,0,c1ccc(Nc2ccccn2)nc1,[10],"['N', 'O', 'Pr']",['Pr'],"['N', 'O']",Pr1 N6 O18,"3(C10 H10 N3 1+),N6 O18 Pr1 3-,H2 O1"
GEYWUC,0,CCCCCN,[],"['Mo', 'O']",['Mo'],['O'],Mo7 O24,"6(C5 H14 N1 1+),Mo7 O24 6-,3(H2 O1)"
GEZYOB,3,NC1CCCCCC1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']",V9 P17 H32 O57,"(H32 O57 P17 V9 4-)n,3n(C7 H16 N1 1+),n(H3 O1 1+),2.33n(H2 O1)"
GEZYUH,3,NC1CCCCC1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']",V9 P17 H32 O57,"(H32 O57 P17 V9 4-)n,3n(C6 H14 N1 1+),n(H3 O1 1+),2.33n(H2 O1)"
GEZZAO,3,NC1CCCC1,"[0, 1]","['O', 'P', 'V']",['V'],"['O', 'P']",V9 P17 H32 O66,"(H32 O66 P17 V9 4-)n,4n(C5 H12 N1 1+)"
GEZZES,2,CC1CNCCN1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']",V2 P4 H8 O14,"(H8 O14 P4 V2 2-)n,n(C5 H14 N2 2+)"
GIBWOG,0,C1CNCCN1,[],"['O', 'V']",['V'],['O'],V10 O28,"O28 V10 6-,4(C4 H12 N2 2+),O4 S1 2-,10(H2 O1)"
GICHAE,2,C1CNCCNCCNCCN1,[2],"['O', 'S', 'U']",['U'],"['O', 'S']",U3 S5 O26,"C8 H24 N4 4+,n(O26 S5 U3 4-),3(H2 O1)"
GICHEI,2,C1CNCCNCCNCCN1,[13],"['O', 'Se', 'U']",['U'],"['O', 'Se']",U4 H2 Se7 O37,"C8 H24 N4 4+,H3 O1 1+,H5 O2 1+,n(H2 O37 Se7 U4 6-),6.65(H2 O1)"
GICHIM,2,CN1C2CCC1CC(N)C2,[2],"['O', 'S', 'U']",['U'],"['O', 'S']",U3 H2 S5 O27,"C8 H18 N2 2+,H3 O1 1+,H5 O2 1+,n(H2 O27 S5 U3 4-),0.5(H2 O1)"
GICHOS,2,CN1C2CCC1CC(N)C2,[13],"['O', 'Se', 'U']",['U'],"['O', 'Se']",U3 H2 Se5 O27,"C8 H18 N2 2+,H3 O1 1+,H5 O2 1+,n(H2 O27 Se5 U3 4-),2(H2 O1)"
GICXIB,3,C1CNC1,[7],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']",Zn1 H3 C3 O6,"(C3 H3 O6 Zn1 1-)n,C3 H8 N1 1+"
GIGPOB,0,c1ccc(-c2ccccn2)nc1,[10],"['N', 'Np', 'O']",['Np'],"['N', 'O']",Np1 N6 O18,"C10 H10 N2 2+,N6 Np1 O18 2-,2(H2 O1)"
GIHCAC,0,CN(C)CCCN,[],"['O', 'V']",['V'],['O'],V10 O28,"3(C5 H16 N2 2+),O28 V10 6-,6(H2 O1)"
GIJGAJ,0,C1CN2CCN1CC2,[4],"['C', 'O', 'U']",['U'],"['C', 'O']",U2 H4 C6 O18,"C6 H4 O18 U2 2-,C6 H14 N2 2+,2(H2 O1)"
GIJGEN,0,C1CN2CCN1CC2,[4],"['C', 'O', 'U']",['U'],"['C', 'O']",U1 H2 C4 O11,"C6 H14 N2 2+,C4 H2 O11 U1 2-,2(H2 O1)"
GIKLIX,0,N=C(N)N,"[4, 8]","['C', 'O', 'U']",['U'],"['C', 'O']",U2 H12 C10 O16,"2(C1 H6 N3 1+),C10 H12 O16 U2 2-"
GIKPAT,0,C1CNCCN1,[4],"['C', 'O', 'U']",['U'],"['C', 'O']",U2 H4 C6 O18,"C6 H4 O18 U2 2-,C4 H12 N2 2+,2(H2 O1)"
GIKPEX,0,C1CNCCN1,[4],"['C', 'O', 'U']",['U'],"['C', 'O']",U1 H2 C4 O11,"C4 H2 O11 U1 2-,C4 H12 N2 2+,4(H2 O1)"
GIMNEW,1,NCCN,[1],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']",Mn1 P2 O8,"(C2 H10 N2 2+)2n,n(Mn1 O8 P2 4-)"
GIMNUN,1,N=C(N)N,[],"['Cr', 'Np', 'O']","['Cr', 'Np']",['O'],Np1 Cr2 O10,"(Cr2 Np1 O10 3-)n,3n(C1 H6 N3 1+),n(H2 O1)"
GIQMEZ,0,c1cnccn1,[],"['Cr', 'F', 'O']",['Cr'],"['F', 'O']",Cr3 O7 F3,"2(C4 H5 N2 1+),Cr3 F3 O7 2-"
GISHOI,0,CNC,[],"['O', 'V']",['V'],['O'],V10 H2 O28,"H2 O28 V10 4-,4(C2 H8 N1 1+),2(H2 O1)"
GITMAX,1,NC1CCCCC1N,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga1 P2 H3 O9,"(C6 H16 N2 2+)n,n(H3 Ga1 O9 P2 2-),n(H2 O1)"
GITMEB,1,NC1CCCCC1N,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga1 P2 H3 O9,"(C6 H16 N2 2+)n,n(H3 Ga1 O9 P2 2-),n(H2 O1)"
GIVDOE,0,NCCN(CCN)CCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']",Sn2 P4 H2 O16,"2(C6 H21 N4 3+),H2 O16 P4 Sn2 6-,8(H2 O1)"
GIWVIS,0,c1cc(-c2ccncc2)ccn1,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']",Fe4 H8 S6 O30,"2(C10 H10 N2 2+),H8 Fe4 O30 S6 4-,6(H2 O1)"
GIWVOY,1,c1cc(-c2ccncc2)ccn1,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']",Fe2 H2 S4 O18,"(C10 H10 N2 2+)2n,n(H2 Fe2 O18 S4 4-),2n(H2 O1)"
GOBYEC,0,c1cc(-c2ccncc2)ccn1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']",P2 W18 O62,"2(C10 H10 N2 2+),2(C10 H9 N2 1+),O62 P2 W18 6-,1.5(H2 O1)"
GODFIP,0,c1ccc(-c2ccccn2)nc1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']",Mo12 P1 O40,"3(C10 H9 N2 1+),Mo12 O40 P1 3-"
GODFOV,0,c1ccncc1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']",P2 W18 O62,"O62 P2 W18 6-,4.5(C5 H6 N1 1+),1.5(H3 O1 1+)"
GOFLOD,2,CCN,[1],"['O', 'P', 'Ti']",['Ti'],"['O', 'P']",Ti2 P4 H3 O16,"(H3 O16 P4 Ti2 1-)n,n(C2 H8 N1 1+),n(H2 O1)"
GOKJOF,2,Nc1ccncc1,[],"['O', 'V']",['V'],['O'],V2 O5,"(C5 H7 N2 1+)n,n(O5 V2 1-)"
GOMPOO,3,c1c[nH]cn1,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al3 P3 H1 O13,"(H1 Al3 O13 P3 1-)n,n(C3 H5 N2 1+)"
GOMSUW,3,CNC,[],"['Ge', 'O']",['Ge'],['O'],Ge2 O4,"(Ge2 O4)5n,n(C2 H7 N1),n(H2 O1)"
GOMTAG,0,CNC,[3],"['Ce', 'O', 'Se', 'W']","['Ce', 'W']","['O', 'Se']",Ce4 H32 W62 Se6 O230,"H32 Ce4 O230 Se6 W62 20-,10(C2 H8 N1 1+),63(H2 O1),10(Na1 1+)"
GOQBAR,0,c1ccncc1,[10],"['N', 'O', 'Pt']",['Pt'],"['N', 'O']",Pt1 N6 O18,"N6 O18 Pt1 2-,4(C5 H6 N1 1+),2(N1 O3 1-)"
GOQSAG,0,CNC,[],"['Mo', 'O']",['Mo'],['O'],Mo13 O40,"4(C2 H8 N1 1+),2(C4 H12 N1 1+),Mo13 O40 6-,1.5(H2 O1)"
GOQZUK,1,N=C(N)NN,[4],"['C', 'O', 'U']",['U'],"['C', 'O']",U2 C8 O20,"(C8 O20 U2 4-)n,4(C1 H7 N4 1+),H2 O1"
GORDOJ,0,CNCCN,[],"['Mo', 'O']",['Mo'],['O'],Mo7 O24,"Mo7 O24 6-,3(C3 H12 N2 2+),3(H2 O1)"
GOSQEN,2,CN,[2],"['O', 'S', 'U']",['U'],"['O', 'S']",U1 H1 S1 O7,"(H1 O7 S1 U1 1-)n,C1 H6 N1 1+"
GOSRIP,3,NCCNCCN,[1],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']",Fe5 P7 H5 O28 F4,"(C4 H15 N3 2+)n,n(C4 H16 N3 3+),n(H5 F4 Fe5 O28 P7 5-),n(H2 O1)"
GOVKEJ,0,CCN(CC)CC,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe3 H10 C8 O18,"C8 H10 Fe3 O18 1-,C6 H16 N1 1+"
GOXXOI,0,c1ncn(CCCCCn2cncn2)n1,[6],"['As', 'Mo', 'O']",['Mo'],"['As', 'O']",Mo18 As2 O62,"As2 Mo18 O62 6-,3(C9 H16 N6 2+),6(H2 O1)"
GOYPAN,3,N=CN,[7],"['C', 'Co', 'O']",['Co'],"['C', 'O']",Co1 H3 C3 O6,"(C3 H3 Co1 O6 1-)n,C1 H5 N2 1+"
GOYPER,3,N=CN,[7],"['C', 'Fe', 'O']",['Fe'],"['C', 'O']",Fe1 H3 C3 O6,"(C3 H3 Fe1 O6 1-)n,C1 H5 N2 1+"
GOYSAQ,0,c1cc(-c2ccncc2)ccn1,"[6, 11]","['As', 'Mo', 'O']",['Mo'],"['As', 'O']",Mo18 As3 O62,"2(As3 Mo18 O62 5-),5(C10 H10 N2 2+),10(H2 O1)"
GUACRO10,0,N=C(N)N,[],"['Cr', 'O']",['Cr'],['O'],Cr1 O4,"2(C1 H6 N3 1+),Cr1 O4 2-"
GUANDC01,0,N=C(N)N,[],"['Cr', 'O']",['Cr'],['O'],Cr2 O7,"2(C1 H6 N3 1+),Cr2 O7 2-"
GUANTC10,0,N=C(N)N,[],"['Cr', 'O']",['Cr'],['O'],Cr3 O10,"2(C1 H6 N3 1+),Cr3 O10 2-"
GUANZS,3,N=C(N)N,[2],"['O', 'S', 'Zn']",['Zn'],"['O', 'S']",Zn1 S2 O8,"(O8 S2 Zn1 2-)n,2n(C1 H6 N3 1+)"
GUBHIW,0,NCCN,[1],"['Mo', 'Ni', 'O', 'P']","['Mo', 'Ni']","['O', 'P']",Ni1 Mo12 P8 O62,"Mo12 Ni1 O62 P8 10-,5(C2 H10 N2 2+),5.5(H2 O1)"
GUBHOC,0,c1cc(-c2ccncc2)ccn1,[1],"['Mo', 'Ni', 'O', 'P']","['Mo', 'Ni']","['O', 'P']",Ni1 Mo12 P8 H8 O62,"H8 Mo12 Ni1 O62 P8 2-,C10 H10 N2 2+,5(H2 O1)"
GUBPIE,3,CNC,[7],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']",Mn1 Cr1 H6 C6 O12,"(C6 H6 Cr1 Mn1 O12 1-)n,n(C2 H8 N1 1+)"
GUBPOK,3,CN,[7],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']",Mn1 Cr1 H6 C6 O12,"(C6 H6 Cr1 Mn1 O12 1-)n,n(C1 H6 N1 1+)"
GUBPUQ,3,CNC,[7],"['Al', 'C', 'Mn', 'O']","['Al', 'Mn']","['C', 'O']",Mn1 Al1 H6 C6 O12,"(C6 H6 Al1 Mn1 O12 1-)n,n(C2 H8 N1 1+)"
GUBQAX,3,CNC,[7],"['C', 'Cr', 'Mg', 'O']","['Cr', 'Mg']","['C', 'O']",Mg1 Cr1 H6 C6 O12,"(C6 H6 Cr1 Mg1 O12 1-)n,n(C2 H8 N1 1+)"
GUCBFT,0,N=C(N)N,[15],"['C', 'F', 'O', 'Th']",['Th'],"['C', 'F', 'O']",Th1 C3 O9 F3,"C3 F3 O9 Th1 5-,5(C1 H6 N3 1+)"
GUCPEZ,2,NCCN(CCN)CCN,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']",Al2 P3 H3 O12 F2,"(H3 Al2 F2 O12 P3 2-)n,n(H2 O4 P1 1-),n(C6 H21 N4 3+)"
GUGXIR,2,CN(C)CCCN(C)C,[0],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be3 P4 H4 O12,"(C7 H20 N2 2+)n,n(H4 Be3 O12 P4 2-)"
GUGXOX,3,NCc1cccnc1,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be3 P4 H4 O16,"(C6 H10 N2 2+)n,n(H4 Be3 O16 P4 2-)"
GUHMOM,2,CN,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']",Co2 P2 O8,"(C1 H6 N1 1+)4n,n(C4 H12 N1 1+),2n(Co2 O8 P2 2-),n(H4 B5 O10 1-)"
GUHNAZ,0,CCNCC,[1],"['Hf', 'O', 'P', 'W']","['Hf', 'W']","['O', 'P']",Hf2 P2 H6 W22 O82,"8(C4 H12 N1 1+),H6 Hf2 O82 P2 W22 8-,7(H2 O1)"
GUHNED,0,CCNCC,[1],"['O', 'P', 'W', 'Zr']","['W', 'Zr']","['O', 'P']",Zr2 P2 H6 W22 O82,"8(C4 H12 N1 1+),H6 O82 P2 W22 Zr2 8-,7(H2 O1)"
GUHNIH,0,CNC,[1],"['O', 'P', 'W']",['W'],"['O', 'P']",P2 W18 O62,"O62 P2 W18 7-,7(C2 H8 N1 1+),5(H2 O1)"
GULCAS,3,NCCNCCN,[0],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']",Fe3 P4 H8 O14 F2,"(C4 H14 N3 1+)n,n(H8 F2 Fe3 O14 P4 1-)"
GULFUO,2,NC1CCCCC1,[1],"['Cl', 'O', 'P', 'Zn']",['Zn'],"['Cl', 'O', 'P']",Zn1 P1 H1 Cl1 O4,"(H1 Cl1 O4 P1 Zn1 1-)n,n(C6 H14 N1 1+)"
GUMOSI,0,N=C(N)N,[5],"['Mo', 'O', 'Si']","['Mo', 'Si']",['O'],Si1 Mo12 O40,"4(C1 H6 N3 1+),Mo12 O40 Si1 4-,H2 O1"
GUNDMO,0,N=C(N)N,[],"['Mo', 'O']",['Mo'],['O'],Mo7 O24,"6(C1 H6 N3 1+),Mo7 O24 6-,H2 O1"
GUOCCE10,0,N=C(N)N,[15],"['C', 'Ce', 'O']",['Ce'],"['C', 'O']",Ce2 C6 O22,"8(C1 H6 N3 1+),C6 Ce2 O22 8-,2(H2 O1)"
GUPCCE,0,N=C(N)N,[15],"['C', 'Ce', 'O']",['Ce'],"['C', 'O']",Ce1 C5 O15,"6(C1 H6 N3 1+),C5 Ce1 O15 6-,4(H2 O1)"
GUPCTH,0,N=C(N)N,[15],"['C', 'O', 'Th']",['Th'],"['C', 'O']",Th1 C5 O15,"6(C1 H6 N3 1+),C5 O15 Th1 6-,4(H2 O1)"
GUQTOB,3,NCCCN,"[4, 1]","['C', 'O', 'P', 'Zn']",['Zn'],"['C', 'O', 'P']",Zn6 P4 C2 O20,"(C3 H12 N2 2+)n,n(C2 O20 P4 Zn6 2-)"
GURZAV,0,CNC,[1],"['O', 'P', 'W', 'Zr']","['W', 'Zr']","['O', 'P']",Zr2 P4 H6 W34 O126,"H6 O126 P4 W34 Zr2 14-,14(C2 H8 N1 1+),16(H2 O1)"
GURZEZ,0,CNC,[1],"['Hf', 'O', 'P', 'W']","['Hf', 'W']","['O', 'P']",Hf2 P4 H6 W34 O126,"H6 Hf2 O126 P4 W34 14-,14(C2 H8 N1 1+),17(H2 O1)"
GUSQIV,3,NCCCCCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O'],U5 V4 H2 O27,"(H2 O27 U5 V4 2-)n,n(C7 H20 N2 2+)"
GUSQOB,3,NCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O'],U5 V4 H2 O27,"(H2 O27 U5 V4 2-)n,n(C3 H12 N2 2+),n(H2 O1)"
GUSQUH,3,NCCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O'],U5 V4 H2 O27,"(H2 O27 U5 V4 2-)n,n(C4 H14 N2 2+),2n(H2 O1)"
GUSRAO,3,NCCCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O'],U5 V4 H2 O27,"(H2 O27 U5 V4 2-)n,n(C5 H16 N2 2+)"
GUSRES,3,NCCCCCCN,[],"['O', 'U', 'V']","['U', 'V']",['O'],U5 V4 H2 O27,"(H2 O27 U5 V4 2-)n,n(C6 H18 N2 2+)"
GUSVAT,1,c1ccc2[nH]cnc2c1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P6 H18 O27,"(H18 O27 P6 Zn3)n,n(C7 H6 N2)"
GUURSL,2,N=C(N)N,[2],"['O', 'S', 'U']",['U'],"['O', 'S']",U1 H2 S2 O11,"(C1 H6 N3 1+)2n,n(H2 O11 S2 U1 2-),2n(H2 O1)"
GUVBEF,3,NCCN,[1],"['Ni', 'O', 'P', 'W']","['Ni', 'W']","['O', 'P']",Ni3 P4 H6 W4 O28,"(H6 Ni3 O28 P4 W4)n,n(C2 H8 N2),4n(H2 O1)"
GUWKAL,0,c1ccncc1,[],"['Mo', 'O']",['Mo'],['O'],Mo8 O26,"0.5(Mo8 O26 4-),2(C5 H6 N1 1+)"
GUWLEQ,0,c1cn(CCCCn2ccnc2)cn1,[],"['Mo', 'O']",['Mo'],['O'],Mo8 O26,"Mo8 O26 4-,2(C10 H16 N4 2+)"
GUXBUX,0,CCc1nc2ccccc2n1CCCCn1c(CC)nc2ccccc21,[],"['Mo', 'O']",['Mo'],['O'],Mo6 O19,"C22 H28 N4 2+,Mo6 O19 2-"
GUXQOF,2,NCCCCN,[],"['F', 'Ge', 'O']",['Ge'],"['F', 'O']",Ge30 H4 O64 F8,"(C4 H14 N2 2+)6n,n(H4 F8 Ge30 O64 12-),3.8n(H2 O1)"
GUXQUL,2,NC1CCC(N)CC1,[],"['F', 'Ge', 'O']",['Ge'],"['F', 'O']",Ge14 O28 F6,"(C6 H16 N2 2+)3n,n(F6 Ge14 O28 6-),4n(H2 O1)"
GYCEAC,0,N=C(N)N,[8],"['C', 'Ce', 'O']",['Ce'],"['C', 'O']",Ce2 H28 C16 O18,"C16 H28 Ce2 O18 2-,2(C1 H6 N3 1+)"
HABCAQ,0,CC(N)CN,[1],"['Fe', 'Mo', 'O', 'P']","['Fe', 'Mo']","['O', 'P']",Fe1 Mo12 P8 H10 O62,"6(C3 H12 N2 2+),H10 Fe1 Mo12 O62 P8 12-,4(H2 O1)"
HABCEU,0,CC(N)CN,[1],"['Fe', 'Mo', 'O', 'P']","['Fe', 'Mo']","['O', 'P']",Fe1 Mo12 P8 H8 O62,"7(C3 H12 N2 2+),H8 Fe1 Mo12 O62 P8 14-,7(H2 O1)"
HABDIZ,0,Cc1ncc[nH]1,[1],"['Mn', 'O', 'P', 'W']","['Mn', 'W']","['O', 'P']",Mn4 P2 H4 W18 O70,"H4 Mn4 O70 P2 W18 10-,10(C4 H7 N2 1+)"
HABKEC,1,NCCCN,[1],"['Ga', 'O', 'P', 'V']","['Ga', 'V']","['O', 'P']",V2 Ga2 P4 O20,"(Ga2 O20 P4 V2 6-)n,n(H2 O1),3n(C3 H12 N2 2+)"
HABKIG,2,NCCCN,[1],"['Ga', 'O', 'P', 'V']","['Ga', 'V']","['O', 'P']",V2 Ga2 P3 O16,"(Ga2 O16 P3 V2 3-)n,3n(H2 O1),1.5n(C3 H12 N2 2+)"
HABKOM,3,NCCCN,[1],"['Ga', 'O', 'P', 'V']","['Ga', 'V']","['O', 'P']",V1 Ga2 P3 H4 O15,"(H4 Ga2 O15 P3 V1 1-)n,n(H2 O1),0.5n(C3 H12 N2 2+)"
HACCOF,2,NCCCNCCNCCCN,[],"['F', 'Ge', 'Nb', 'O']","['Ge', 'Nb']","['F', 'O']",Nb1 Ge6 H2 O16 F1,"(C8 H24 N4 2+)n,n(H2 F1 Ge6 Nb1 O16 2-)"
HACREJ,1,CNC,[2],"['O', 'S', 'Y']",['Y'],"['O', 'S']",Y1 H2 S2 O9,"(C2 H8 N1 1+)n,n(H2 O9 S2 Y1 1-)"
HAFGIE,0,NCCCCCCCCN,[],"['O', 'V']",['V'],['O'],V15 O36,"3(C8 H22 N2 2+),O36 V15 5-,Cl1 1-,6(H3 N1),3(H2 O1)"
HAFGUQ,1,NCCCCN,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga1 P2 H1 O8,"(H1 Ga1 O8 P2 2-)n,n(C4 H14 N2 2+)"
HAFJEE,0,c1ccc2[nH]cnc2c1,[],"['Cr', 'O']",['Cr'],['O'],Cr2 O7,"2(C7 H7 N2 1+),Cr2 O7 2-"
HAFJII,0,CCCc1nc2ccccc2[nH]1,[],"['Cr', 'O']",['Cr'],['O'],Cr2 O7,"2(C10 H13 N2 1+),Cr2 O7 2-"
HAGSUE,3,C1CNCCN1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn6 P8 H8 O24,"(H3 O1 1+)2n,n(C4 H12 N2 2+),n(H8 O24 P8 Zn6 4-)"
HAGVUH,0,c1cc2cc(c1)CNCCN1CCNCc3cccc(c3)CNCCN(CCNC2)CCNCc2cccc(c2)CNCC1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"C36 H60 N8 6+,6(O4 Re1 1-),5(H2 O1)"
HAGWAO,0,c1cc2nc(c1)CNCCN1CCNCc3cccc(n3)CNCCN(CCNC2)CCNCc2cccc(n2)CNCC1,[],"['O', 'Re']",['Re'],['O'],Re1 O4,"2(C33 H57 N11 6+),10(O4 Re1 1-),2(Cl1 O4 1-),3(H2 O1)"
HAJZAV,0,Nc1ccncc1,[],"['Cr', 'Mo', 'O']","['Cr', 'Mo']",['O'],Cr1 Mo6 H6 O24,"2(C5 H7 N2 1+),H3 O1 1+,H6 Cr1 Mo6 O24 3-,2(H2 O1)"
HAJZEZ,0,Nc1ccncc1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']",Mo12 P1 O40,"3(C5 H7 N2 1+),Mo12 O40 P1 3-,C5 H6 N2,H2 O1"
HAKYAT,0,N=C(N)N,[],"['O', 'V']",['V'],['O'],V10 O28,"O28 V10 6-,6(C1 H6 N3 1+),6(H2 O1)"
HASNIB,3,c1c[nH]cn1,[4],"['C', 'Eu', 'O']",['Eu'],"['C', 'O']",Eu4 H8 C16 O36,"(C16 H8 Eu4 O36 4-)n,4(C3 H5 N2 1+),4(H2 O1)"
HASNOH,3,c1c[nH]cn1,[4],"['C', 'O', 'Tb']",['Tb'],"['C', 'O']",Tb4 H8 C16 O36,"(C16 H8 O36 Tb4 4-)n,4(C3 H5 N2 1+),4(H2 O1)"
HASNUN,3,Cn1ccnc1,[4],"['C', 'Eu', 'O']",['Eu'],"['C', 'O']",Eu4 H8 C16 O36,"(C16 H8 Eu4 O36 4-)n,4(C4 H7 N2 1+),4(H2 O1)"
HATLOF,2,NCCCCCCN,[],"['Mo', 'O']",['Mo'],['O'],Mo7 O22,"(Mo7 O22 2-)n,n(H2 O1),n(C6 H18 N2 2+)"
HATLUL,2,CNCCCCCCNC,[],"['Mo', 'O']",['Mo'],['O'],Mo9 O28,"(Mo9 O28 2-)n,n(C8 H22 N2 2+)"
HATREZ,0,CC(C)N,[],"['Mo', 'O']",['Mo'],['O'],Mo8 O26,"4(C3 H10 N1 1+),Mo8 O26 4-"
HAWHOE,0,C1CN2CCN1CC2,[],"['Cl', 'Cr', 'O']",['Cr'],"['Cl', 'O']",Cr1 Cl1 O3,"C6 H14 N2 2+,Cl1 Cr1 O3 1-,Cl1 1-"
HAXGOE,0,c1ccncc1,[],"['Cl', 'Cr', 'O']",['Cr'],"['Cl', 'O']",Cr1 Cl1 O3,"C5 H6 N1 1+,Cl1 Cr1 O3 1-"
HEBPUB,3,NC1CCCCCC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn3 P4 H4 O12,"(C7 H16 N1 1+)2n,n(H4 O12 P4 Zn3 2-)"
HEBTIU,2,NCCN,"[14, 12]","['B', 'Na', 'O']",['Na'],"['B', 'O']",Na1 B8 H2 O14,"0.5(C2 H10 N2 2+),n(H2 B8 Na1 O14 1-)"
HEFHEF,2,C1CNCCN1,[1],"['O', 'P', 'V']",['V'],"['O', 'P']",V4 P4 O20,"(C4 H12 N2 2+)n,0.5n(O20 P4 V4 4-)"
HEFHIJ,2,C1CNCCN1,[1],"['O', 'P', 'V']",['V'],"['O', 'P']",V3 P4 H2 O19,"(C4 H12 N2 2+)2n,n(H2 O19 P4 V3 4-),n(H2 O1)"
HEFXUL,0,CC(C)(C)N,[],"['Cr', 'Mo', 'O']","['Cr', 'Mo']",['O'],Cr1 Mo6 H6 O24,"3(C4 H12 N1 1+),H6 Cr1 Mo6 O24 3-,8(H2 O1)"
HEGBUQ,0,CC(C)(C)N,[],"['Cr', 'Mo', 'O']","['Cr', 'Mo']",['O'],Cr1 Mo6 H7 O24,"2(C4 H12 N1 1+),H7 Cr1 Mo6 O24 2-,2(H2 O1)"
HEHWAS,3,NCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn4 P6 H6 O24,"(C2 H10 N2 2+)n,0.5n(H6 O24 P6 Zn4 4-)"
HEKFOS,0,CC(C)(C)N,[],"['Mo', 'O']",['Mo'],['O'],Mo1 O4,"2(C4 H12 N1 1+),Mo1 O4 2-"
HEMRIA,0,NCCN,[],"['O', 'W']",['W'],['O'],W6 O19,"2(C2 H10 N2 2+),O19 W6 3-,Cl1 1-,C2 H8 N2,8(H2 O1)"
HEMVEB,3,NCCN,[1],"['Co', 'F', 'O', 'P']",['Co'],"['F', 'O', 'P']",Co4 P4 H1 O16 F1,"(C2 H10 N2 2+)2n,n(H1 Co4 F1 O16 P4 4-),n(H2 O1)"
HENRIE,0,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,[10],"['Eu', 'N', 'O']",['Eu'],"['N', 'O']",Eu1 N5 O15,"C24 H18 N6 2+,Eu1 N5 O15 2-"
HENROK,0,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,[10],"['N', 'O', 'Tb']",['Tb'],"['N', 'O']",Tb1 N5 O15,"C24 H18 N6 2+,N5 O15 Tb1 2-"
HENRUQ,0,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,[10],"['Er', 'N', 'O']",['Er'],"['N', 'O']",Er1 N5 O15,"C24 H18 N6 2+,Er1 N5 O15 2-"
HENSAX,0,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,[10],"['N', 'O', 'Y']",['Y'],"['N', 'O']",Y1 N5 O15,"C24 H18 N6 2+,N5 O15 Y1 2-"
