identifier,dimension,smiles,bus,elements,ms,nms,mo_formula,csdformula
XACQIB,1,C1CNCCN1,"[6, 4]","['As', 'C', 'O', 'V']",['V'],"['As', 'C', 'O']",V1 As1 H1 C2 O9,"(C4 H12 N2 2+)n,n(C2 H1 As1 O9 V1 2-)"
XACQOH,1,C1CNCCN1,"[4, 1]","['C', 'O', 'P', 'V']",['V'],"['C', 'O', 'P']",V1 P1 H1 C2 O9,"(C4 H12 N2 2+)n,n(C2 H1 O9 P1 V1 2-)"
XACTOK,0,C1CNCCN1,[2],"['O', 'S', 'V']",['V'],"['O', 'S']",V1 H8 S1 O9,"C4 H12 N2 2+,H8 O9 S1 V1,O4 S1 2-"
XAGLEY,0,Nc1ccccn1,[6],"['As', 'Mo', 'O']",['Mo'],"['As', 'O']",Mo12 As1 O40,"As1 Mo12 O40 3-,3(C5 H7 N2 1+),1.5(H2 O1),2(C5 H6 N2)"
XAGYUC,2,NCCN,"[14, 12]","['B', 'Na', 'O']",['Na'],"['B', 'O']",Na1 B7 H4 O14,"(H4 B7 Na1 O14 2-)n,C2 H10 N2 2+"
XAHWUZ,1,C1CNCCN1,[1],"['F', 'Mn', 'O', 'P']",['Mn'],"['F', 'O', 'P']",Mn2 P2 H6 O10 F4,"(C4 H12 N2 2+)2n,n(H6 F4 Mn2 O10 P2 2-),2n(H2 O4 P1 1-)"
XAJHUL,2,c1ccncc1,[1],"['Fe', 'O', 'P']",['Fe'],"['O', 'P']",Fe2 P4 H12 O20,"(C5 H6 N1 1+)2n,n(H12 Fe2 O20 P4 2-)"
XAJJAT,2,c1c[nH]cn1,[1],"['Fe', 'O', 'P']",['Fe'],"['O', 'P']",Fe1 P2 H6 O10,"(C3 H5 N2 1+)n,n(H6 Fe1 O10 P2 1-)"
XAJZOY,3,CN(C)CCCCCCN(C)C,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al9 P9 H2 O38,"(C10 H26 N2 2+)n,n(H2 Al9 O38 P9 2-)"
XAKBUH,2,CNCCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn2 P3 H3 O12,"(H3 O12 P3 Zn2 2-)n,n(C4 H14 N2 2+)"
XAKCUH,1,NCCNCCNCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn2 P4 H4 O16,"(C6 H22 N4 4+)n,n(H4 O16 P4 Zn2 4-)"
XAKDES,3,NCCNCCNCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn4 P4 O16,"(C6 H22 N4 4+)n,n(O16 P4 Zn4 4-)"
XAKDIW,3,NCCNCCNCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']",Zn6 P6 H2 O24,"(H2 O24 P6 Zn6 4-)n,n(C6 H22 N4 4+)"
XAKVEL,2,NCCN,[2],"['Nd', 'O', 'S']",['Nd'],"['O', 'S']",Nd2 H4 S6 O26,"(C2 H10 N2 2+)3n,n(H4 Nd2 O26 S6 6-),4n(H2 O1)"
XAKVUB,3,NCCN,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']",Ga5 P4 H4 O20,"(H4 Ga5 O20 P4 1-)n,0.5n(C2 H10 N2 2+)"
XAMCUJ,2,N=C(N)N,[3],"['O', 'Se', 'Zn']",['Zn'],"['O', 'Se']",Zn3 Se5 O15,"(C1 H6 N3 1+)4n,n(O15 Se5 Zn3 4-)"
XAPJOP,0,NCCN,[4],"['Ba', 'C', 'O']",['Ba'],"['C', 'O']",Ba1 H8 C8 O18,"C8 H8 Ba1 O18 2-,C2 H10 N2 2+"
XAPVIU,0,c1ccc(Nc2ccccn2)nc1,[],"['Cl', 'O', 'V']",['V'],"['Cl', 'O']",V1 H4 Cl2 O3,"H4 Cl2 O3 V1,2(C10 H10 N3 1+),2(Cl1 1-)"
XAQTEO,3,CC(N)CN,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']",Co5 P5 O20,"(C3 H12 N2 2+)2n,n(Co5 O20 P5 4-)"
XAQTIS,3,CC(C)(N)CN,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']",Co5 P5 O20,"(C4 H14 N2 2+)2n,n(Co5 O20 P5 4-)"
XAQTOY01,3,CC(N)CN,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']",Co5 P5 O20,"(C3 H12 N2 2+)2n,n(Co5 O20 P5 4-)"
XAQYAP,2,N=C(N)N,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al1 P2 H6 O10,"(C1 H6 N3 1+)n,n(H6 Al1 O10 P2 1-)"
XAVCUT,2,N=C(N)NN,[2],"['O', 'S', 'U']",['U'],"['O', 'S']",U1 H2 S2 O11,"(C1 H7 N4 1+)2n,n(H2 O11 S2 U1 2-)"
XAVZEC,2,CC1CNCC(C)N1,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']",Ga4 P6 H4 C2 O28,"(C2 H4 Ga4 O28 P6 4-)n,2(C6 H16 N2 2+),2(H2 O1)"
XAWBEE,3,NCCNCCN,[0],"['In', 'O', 'P']",['In'],"['O', 'P']",In3 P6 H6 O18,"(H6 In3 O18 P6 3-)n,n(C4 H16 N3 3+),2n(H2 O1)"
XAWQAO,2,CCCN,[1],"['Cl', 'O', 'P', 'Zn']",['Zn'],"['Cl', 'O', 'P']",Zn1 P1 H1 Cl1 O4,"(C3 H10 N1 1+)n,n(H1 Cl1 O4 P1 Zn1 1-)"
XAXBAB,3,N=CN,[7],"['C', 'Mg', 'O']",['Mg'],"['C', 'O']",Mg1 H3 C3 O6,"(C1 H5 N2 1+)n,n(C3 H3 Mg1 O6 1-)"
XAXBEF,3,N=C(N)N,[7],"['C', 'Mg', 'O']",['Mg'],"['C', 'O']",Mg1 H3 C3 O6,"(C1 H6 N3 1+)n,n(C3 H3 Mg1 O6 1-)"
XAXNUF,3,C1CNCCN1,[6],"['As', 'O', 'Zn']",['Zn'],"['As', 'O']",Zn7 As6 H4 O26,"(C4 H12 N2 2+)2n,n(H4 As6 O26 Zn7 4-)"
XEBXOR,2,NCCN,[],"['Mn', 'O', 'V']","['Mn', 'V']",['O'],Mn1 V6 O18,"(C2 H10 N2 2+)2n,n(Mn1 O18 V6 4-)"
XEBXUX,3,NCCN,[],"['F', 'Mn', 'O', 'V']","['Mn', 'V']","['F', 'O']",Mn1 V3 O9 F1,"(C2 H10 N2 2+)n,n(F1 Mn1 O9 V3 2-)"
XECJEW,1,CC1(N)CCC(N)C1(C)C,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']",Al1 P2 H1 O8,"(H1 Al1 O8 P2 2-)n,n(C8 H20 N2 2+)"
XECPAY,0,Nc1cccnc1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']",Cr1 H4 C4 O10,"C4 H4 Cr1 O10 1-,C5 H7 N2 1+"
XEDGUI,2,NCCN,[],"['O', 'W']",['W'],['O'],W3 O10,"(C2 H10 N2 2+)n,n(O10 W3 2-)"
XEDHIX,3,CN,[],"['Ge', 'O']",['Ge'],['O'],Ge8 H1 O17,"(C1 H6 N1 1+)n,n(H1 Ge8 O17 1-),n(C1 H5 N1)"
XEHDEV,3,CCCCN,[0],"['Be', 'O', 'P']",['Be'],"['O', 'P']",Be3 P4 H4 O12,"(C4 H12 N1 1+)2n,n(H4 Be3 O12 P4 2-)"
XEHZIW,0,CN(C)c1ccncc1,[],"['O', 'V']",['V'],['O'],V10 O28,"6(C7 H11 N2 1+),O28 V10 6-,H2 O1"
XEJTUB,3,NCCN,[],"['Ge', 'O']",['Ge'],['O'],Ge18 H4 O42,"(C2 H10 N2 2+)4n,n(H4 Ge18 O42 8-),2n(H2 O1)"
XEKZAQ,0,NCCN,[],"['F', 'Mo', 'O']",['Mo'],"['F', 'O']",Mo2 O5 F6,"2(C2 H10 N2 2+),F6 Mo2 O5 4-"
XEMYUL,2,N=C(N)N,"[3, 4]","['C', 'O', 'Se', 'U']",['U'],"['C', 'O', 'Se']",U2 C2 Se2 O14,"(C1 H6 N3 1+)2n,n(C2 O14 Se2 U2 2-)"
XEMZIA,2,CCCCN,[13],"['O', 'Se', 'U']",['U'],"['O', 'Se']",U2 H2 Se3 O17,"(C4 H12 N1 1+)n,n(H3 O1 1+),n(H2 O17 Se3 U2 2-),n(H2 O1)"
